Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence	Rank
1	Spectrogram 1	1	480245.mp3.wav	12.0	15.0	150	15000	melwar1	Melodious Warbler	0.9980921341639007	1
2	Spectrogram 1	1	480245.mp3.wav	15.0	18.0	150	15000	melwar1	Melodious Warbler	0.9997252806531879	1
3	Spectrogram 1	1	480245.mp3.wav	18.0	21.0	150	15000	melwar1	Melodious Warbler	0.9958909117696804	1
4	Spectrogram 1	1	480245.mp3.wav	18.0	21.0	150	15000	ictwar1	Icterine Warbler	0.11410824212074511	2
5	Spectrogram 1	1	480245.mp3.wav	21.0	24.0	150	15000	melwar1	Melodious Warbler	0.9942792912458284	1
6	Spectrogram 1	1	480245.mp3.wav	21.0	24.0	150	15000	ictwar1	Icterine Warbler	0.28536666889573015	2
7	Spectrogram 1	1	480245.mp3.wav	24.0	27.0	150	15000	melwar1	Melodious Warbler	0.9985791010833208	1
8	Spectrogram 1	1	480245.mp3.wav	27.0	30.0	150	15000	melwar1	Melodious Warbler	0.9990502157888442	1
9	Spectrogram 1	1	480245.mp3.wav	3.0	6.0	150	15000	melwar1	Melodious Warbler	0.958749858190717	1
10	Spectrogram 1	1	480245.mp3.wav	3.0	6.0	150	15000	ictwar1	Icterine Warbler	0.15486109233678141	2
11	Spectrogram 1	1	480245.mp3.wav	30.0	33.0	150	15000	melwar1	Melodious Warbler	0.9983533887052498	1
12	Spectrogram 1	1	480245.mp3.wav	33.0	36.0	150	15000	melwar1	Melodious Warbler	0.9765091404380305	1
13	Spectrogram 1	1	480245.mp3.wav	33.0	36.0	150	15000	ictwar1	Icterine Warbler	0.3176447694774767	2
14	Spectrogram 1	1	480245.mp3.wav	36.0	39.0	150	15000	pecpip	Pechora Pipit	0.11161833909383533	1
15	Spectrogram 1	1	480245.mp3.wav	36.0	39.0	150	15000	isawhe1	Isabelline Wheatear	0.11086404674345757	2
16	Spectrogram 1	1	480245.mp3.wav	39.0	42.0	150	15000	rebnut	Red-breasted Nuthatch	0.2816200689325617	1
17	Spectrogram 1	1	480245.mp3.wav	42.0	45.0	150	15000	stonec4	European Stonechat	0.7960671908038153	1
18	Spectrogram 1	1	480245.mp3.wav	42.0	45.0	150	15000	blared1	Black Redstart	0.24436937175376797	2
19	Spectrogram 1	1	480245.mp3.wav	42.0	45.0	150	15000	rebnut	Red-breasted Nuthatch	0.15126994503489644	3
20	Spectrogram 1	1	480245.mp3.wav	45.0	48.0	150	15000	blared1	Black Redstart	0.9653510792223355	1
21	Spectrogram 1	1	480245.mp3.wav	45.0	48.0	150	15000	blueth	Bluethroat	0.15117568775987314	2
22	Spectrogram 1	1	480245.mp3.wav	48.0	51.0	150	15000	melwar1	Melodious Warbler	0.9503769662130604	1
23	Spectrogram 1	1	480245.mp3.wav	48.0	51.0	150	15000	marwar3	Marsh Warbler	0.39300265504641224	2
24	Spectrogram 1	1	480245.mp3.wav	48.0	51.0	150	15000	grewhi1	Greater Whitethroat	0.14527493705867509	3
25	Spectrogram 1	1	480245.mp3.wav	51.0	54.0	150	15000	blared1	Black Redstart	0.963760053205277	1
26	Spectrogram 1	1	480245.mp3.wav	51.0	54.0	150	15000	blueth	Bluethroat	0.12170052375785397	2
27	Spectrogram 1	1	480245.mp3.wav	54.0	57.0	150	15000	blared1	Black Redstart	0.4977627426752399	1
28	Spectrogram 1	1	480245.mp3.wav	54.0	57.0	150	15000	blueth	Bluethroat	0.3336353626956702	2
29	Spectrogram 1	1	480245.mp3.wav	57.0	60.0	150	15000	blrwar1	Blyth's Reed Warbler	0.6525444142046011	1
30	Spectrogram 1	1	480245.mp3.wav	57.0	60.0	150	15000	marwar3	Marsh Warbler	0.5320203881221957	2
31	Spectrogram 1	1	480245.mp3.wav	57.0	60.0	150	15000	ictwar1	Icterine Warbler	0.22708624196506336	3
32	Spectrogram 1	1	480245.mp3.wav	6.0	9.0	150	15000	melwar1	Melodious Warbler	0.9988875732439263	1
33	Spectrogram 1	1	480245.mp3.wav	9.0	12.0	150	15000	melwar1	Melodious Warbler	0.967546180178848	1
34	Spectrogram 1	1	480245.mp3.wav	9.0	12.0	150	15000	marwar3	Marsh Warbler	0.5721027909266551	2
35	Spectrogram 1	1	480245.mp3.wav	9.0	12.0	150	15000	ictwar1	Icterine Warbler	0.16661231514380037	3
36	Spectrogram 1	1	480245.mp3.wav	60.0	63.0	150	15000	melwar1	Melodious Warbler	0.9463195290860487	1
37	Spectrogram 1	1	480245.mp3.wav	60.0	63.0	150	15000	garwar1	Garden Warbler	0.42044330386278866	2
38	Spectrogram 1	1	480245.mp3.wav	72.0	75.0	150	15000	blueth	Bluethroat	0.9712309011385877	1
39	Spectrogram 1	1	480245.mp3.wav	72.0	75.0	150	15000	woolar1	Wood Lark	0.21221186438581147	2
