Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence	Rank
1	Spectrogram 1	1	289953.mp3.wav	12.0	15.0	150	15000	ictwar1	Icterine Warbler	0.9996862524203317	1
2	Spectrogram 1	1	289953.mp3.wav	15.0	18.0	150	15000	ictwar1	Icterine Warbler	0.999803522081869	1
3	Spectrogram 1	1	289953.mp3.wav	3.0	6.0	150	15000	rebfly	Red-breasted Flycatcher	0.13630684486513941	1
4	Spectrogram 1	1	289953.mp3.wav	3.0	6.0	150	15000	stodov1	Stock Dove	0.1243561593657169	2
5	Spectrogram 1	1	289953.mp3.wav	3.0	6.0	150	15000	eurjay1	Eurasian Jay	0.10249726503524746	3
6	Spectrogram 1	1	289953.mp3.wav	6.0	9.0	150	15000	ictwar1	Icterine Warbler	0.9999168906653574	1
7	Spectrogram 1	1	289953.mp3.wav	9.0	12.0	150	15000	ictwar1	Icterine Warbler	0.999597513433221	1
8	Spectrogram 1	1	289953.mp3.wav	0.0	3.0	150	15000	euptit1	Eurasian Penduline-Tit	0.8115070537682809	1
