Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence	Rank
1	Spectrogram 1	1	511623.mp3.wav	12.0	15.0	150	15000	marwar3	Marsh Warbler	0.5280536012271001	1
2	Spectrogram 1	1	511623.mp3.wav	12.0	15.0	150	15000	blrwar1	Blyth's Reed Warbler	0.27825661432287263	2
3	Spectrogram 1	1	511623.mp3.wav	12.0	15.0	150	15000	ictwar1	Icterine Warbler	0.2767657501319816	3
4	Spectrogram 1	1	511623.mp3.wav	15.0	18.0	150	15000	blrwar1	Blyth's Reed Warbler	0.8986352492173888	1
5	Spectrogram 1	1	511623.mp3.wav	15.0	18.0	150	15000	ictwar1	Icterine Warbler	0.3784290813167844	2
6	Spectrogram 1	1	511623.mp3.wav	15.0	18.0	150	15000	marwar3	Marsh Warbler	0.2000409488807033	3
7	Spectrogram 1	1	511623.mp3.wav	18.0	21.0	150	15000	blrwar1	Blyth's Reed Warbler	0.651599899473054	1
8	Spectrogram 1	1	511623.mp3.wav	18.0	21.0	150	15000	wlwwar	Willow Warbler	0.517349203405616	2
9	Spectrogram 1	1	511623.mp3.wav	18.0	21.0	150	15000	ictwar1	Icterine Warbler	0.4886901689104965	3
10	Spectrogram 1	1	511623.mp3.wav	21.0	24.0	150	15000	blrwar1	Blyth's Reed Warbler	0.56513116443793	1
11	Spectrogram 1	1	511623.mp3.wav	21.0	24.0	150	15000	marwar3	Marsh Warbler	0.3190268207476061	2
12	Spectrogram 1	1	511623.mp3.wav	21.0	24.0	150	15000	wlwwar	Willow Warbler	0.20176058902706995	3
13	Spectrogram 1	1	511623.mp3.wav	24.0	27.0	150	15000	blrwar1	Blyth's Reed Warbler	0.955809827417693	1
14	Spectrogram 1	1	511623.mp3.wav	24.0	27.0	150	15000	ictwar1	Icterine Warbler	0.3456686750802842	2
15	Spectrogram 1	1	511623.mp3.wav	24.0	27.0	150	15000	marwar3	Marsh Warbler	0.25909159374115615	3
16	Spectrogram 1	1	511623.mp3.wav	27.0	30.0	150	15000	marwar3	Marsh Warbler	0.7350680864537837	1
17	Spectrogram 1	1	511623.mp3.wav	27.0	30.0	150	15000	blrwar1	Blyth's Reed Warbler	0.5327264563603041	2
18	Spectrogram 1	1	511623.mp3.wav	27.0	30.0	150	15000	wlwwar	Willow Warbler	0.13253716774440674	3
19	Spectrogram 1	1	511623.mp3.wav	3.0	6.0	150	15000	wlwwar	Willow Warbler	0.7559464151919887	1
20	Spectrogram 1	1	511623.mp3.wav	3.0	6.0	150	15000	blrwar1	Blyth's Reed Warbler	0.6083035879667101	2
21	Spectrogram 1	1	511623.mp3.wav	3.0	6.0	150	15000	marwar3	Marsh Warbler	0.20449704160946966	3
22	Spectrogram 1	1	511623.mp3.wav	30.0	33.0	150	15000	blrwar1	Blyth's Reed Warbler	0.6384726290756694	1
23	Spectrogram 1	1	511623.mp3.wav	30.0	33.0	150	15000	ictwar1	Icterine Warbler	0.5252844085874457	2
24	Spectrogram 1	1	511623.mp3.wav	30.0	33.0	150	15000	wlwwar	Willow Warbler	0.25734724315494445	3
25	Spectrogram 1	1	511623.mp3.wav	33.0	36.0	150	15000	blrwar1	Blyth's Reed Warbler	0.6530317899168312	1
26	Spectrogram 1	1	511623.mp3.wav	33.0	36.0	150	15000	marwar3	Marsh Warbler	0.568295842168402	2
