Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence	Rank
1	Spectrogram 1	1	487973.mp3.wav	12.0	15.0	150	15000	wlwwar	Willow Warbler	0.10566232426073496	1
2	Spectrogram 1	1	487973.mp3.wav	12.0	15.0	150	15000	melwar1	Melodious Warbler	0.10472998618692626	2
3	Spectrogram 1	1	487973.mp3.wav	12.0	15.0	150	15000	eurlin1	Eurasian Linnet	0.10200463162541971	3
4	Spectrogram 1	1	487973.mp3.wav	15.0	18.0	150	15000	darwar1	Dartford Warbler	0.5255600896179107	1
5	Spectrogram 1	1	487973.mp3.wav	15.0	18.0	150	15000	melwar1	Melodious Warbler	0.3583587918804894	2
6	Spectrogram 1	1	487973.mp3.wav	15.0	18.0	150	15000	grewhi1	Greater Whitethroat	0.24972781007272335	3
7	Spectrogram 1	1	487973.mp3.wav	18.0	21.0	150	15000	darwar1	Dartford Warbler	0.9511404473380377	1
8	Spectrogram 1	1	487973.mp3.wav	18.0	21.0	150	15000	triwar1	Tristram's Warbler	0.18853423097703403	2
9	Spectrogram 1	1	487973.mp3.wav	21.0	24.0	150	15000	barswa	Barn Swallow	0.4307691139955853	1
10	Spectrogram 1	1	487973.mp3.wav	21.0	24.0	150	15000	callar1	Calandra Lark	0.13937213605826052	2
11	Spectrogram 1	1	487973.mp3.wav	21.0	24.0	150	15000	pinsis	Pine Siskin	0.12406003447136196	3
12	Spectrogram 1	1	487973.mp3.wav	24.0	27.0	150	15000	melwar1	Melodious Warbler	0.9980415138350233	1
13	Spectrogram 1	1	487973.mp3.wav	27.0	30.0	150	15000	thelar1	Thekla's Lark	0.1929973982879792	1
14	Spectrogram 1	1	487973.mp3.wav	27.0	30.0	150	15000	wooshr1	Woodchat Shrike	0.11105273020676101	2
15	Spectrogram 1	1	487973.mp3.wav	27.0	30.0	150	15000	crelar2	Crested Lark	0.10038321479093101	3
16	Spectrogram 1	1	487973.mp3.wav	3.0	6.0	150	15000	melwar1	Melodious Warbler	0.9924333542349661	1
17	Spectrogram 1	1	487973.mp3.wav	30.0	33.0	150	15000	wlwwar	Willow Warbler	0.6541429774902418	1
18	Spectrogram 1	1	487973.mp3.wav	33.0	36.0	150	15000	wooshr1	Woodchat Shrike	0.10979642710648184	1
19	Spectrogram 1	1	487973.mp3.wav	36.0	39.0	150	15000	woolar1	Wood Lark	0.2233415573899356	1
20	Spectrogram 1	1	487973.mp3.wav	42.0	45.0	150	15000	rebnut	Red-breasted Nuthatch	0.5267543090001843	1
21	Spectrogram 1	1	487973.mp3.wav	45.0	48.0	150	15000	padwar1	Paddyfield Warbler	0.2432781922139794	1
22	Spectrogram 1	1	487973.mp3.wav	48.0	51.0	150	15000	melwar1	Melodious Warbler	0.988620334979708	1
23	Spectrogram 1	1	487973.mp3.wav	6.0	9.0	150	15000	melwar1	Melodious Warbler	0.8455285146800381	1
24	Spectrogram 1	1	487973.mp3.wav	6.0	9.0	150	15000	grewhi1	Greater Whitethroat	0.5630702272089537	2
25	Spectrogram 1	1	487973.mp3.wav	6.0	9.0	150	15000	subwar1	Subalpine Warbler	0.24487966045437684	3
26	Spectrogram 1	1	487973.mp3.wav	9.0	12.0	150	15000	wlwwar	Willow Warbler	0.12330114844957343	1
27	Spectrogram 1	1	487973.mp3.wav	60.0	63.0	150	15000	wooshr1	Woodchat Shrike	0.7506179214018678	1
