Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence	Rank
1	Spectrogram 1	1	343464.mp3.wav	12.0	15.0	150	15000	ictwar1	Icterine Warbler	0.9999676875540575	1
2	Spectrogram 1	1	343464.mp3.wav	15.0	18.0	150	15000	ictwar1	Icterine Warbler	0.9996617933863343	1
3	Spectrogram 1	1	343464.mp3.wav	18.0	21.0	150	15000	ictwar1	Icterine Warbler	0.9988905074021186	1
4	Spectrogram 1	1	343464.mp3.wav	21.0	24.0	150	15000	trepip	Tree Pipit	0.6611541338123189	1
5	Spectrogram 1	1	343464.mp3.wav	21.0	24.0	150	15000	ictwar1	Icterine Warbler	0.27411015179993753	2
6	Spectrogram 1	1	343464.mp3.wav	24.0	27.0	150	15000	bnhnut	Brown-headed Nuthatch	0.7613963965510336	1
7	Spectrogram 1	1	343464.mp3.wav	24.0	27.0	150	15000	ictwar1	Icterine Warbler	0.495520854021292	2
8	Spectrogram 1	1	343464.mp3.wav	27.0	30.0	150	15000	ictwar1	Icterine Warbler	0.9999691316893018	1
9	Spectrogram 1	1	343464.mp3.wav	3.0	6.0	150	15000	ictwar1	Icterine Warbler	0.9988981073747292	1
10	Spectrogram 1	1	343464.mp3.wav	30.0	33.0	150	15000	sonthr1	Song Thrush	0.6092053894278823	1
11	Spectrogram 1	1	343464.mp3.wav	30.0	33.0	150	15000	brnthr	Brown Thrasher	0.19755600900503326	2
12	Spectrogram 1	1	343464.mp3.wav	30.0	33.0	150	15000	normoc	Northern Mockingbird	0.11231227647157517	3
13	Spectrogram 1	1	343464.mp3.wav	33.0	36.0	150	15000	ictwar1	Icterine Warbler	0.9996757213309051	1
14	Spectrogram 1	1	343464.mp3.wav	36.0	39.0	150	15000	sonthr1	Song Thrush	0.36014732591363297	1
15	Spectrogram 1	1	343464.mp3.wav	36.0	39.0	150	15000	misthr1	Mistle Thrush	0.28685172088536975	2
16	Spectrogram 1	1	343464.mp3.wav	36.0	39.0	150	15000	eurbla	Eurasian Blackbird	0.1519761523580858	3
17	Spectrogram 1	1	343464.mp3.wav	39.0	42.0	150	15000	ictwar1	Icterine Warbler	0.9958906591701789	1
18	Spectrogram 1	1	343464.mp3.wav	39.0	42.0	150	15000	sonthr1	Song Thrush	0.15726728085355876	2
19	Spectrogram 1	1	343464.mp3.wav	42.0	45.0	150	15000	ictwar1	Icterine Warbler	0.9997715991660375	1
20	Spectrogram 1	1	343464.mp3.wav	45.0	48.0	150	15000	ictwar1	Icterine Warbler	0.9115622534500213	1
21	Spectrogram 1	1	343464.mp3.wav	48.0	51.0	150	15000	eurwar1	Eurasian Reed Warbler	0.4544651296761333	1
22	Spectrogram 1	1	343464.mp3.wav	48.0	51.0	150	15000	thrnig1	Thrush Nightingale	0.13990471912043018	2
23	Spectrogram 1	1	343464.mp3.wav	51.0	54.0	150	15000	marwar3	Marsh Warbler	0.4983121446508106	1
24	Spectrogram 1	1	343464.mp3.wav	51.0	54.0	150	15000	ictwar1	Icterine Warbler	0.4059576709241841	2
25	Spectrogram 1	1	343464.mp3.wav	51.0	54.0	150	15000	thrnig1	Thrush Nightingale	0.2700053713797884	3
26	Spectrogram 1	1	343464.mp3.wav	54.0	57.0	150	15000	ictwar1	Icterine Warbler	0.9999093353327305	1
27	Spectrogram 1	1	343464.mp3.wav	57.0	60.0	150	15000	ictwar1	Icterine Warbler	0.9999215290706369	1
28	Spectrogram 1	1	343464.mp3.wav	6.0	9.0	150	15000	ictwar1	Icterine Warbler	0.9995254653619372	1
29	Spectrogram 1	1	343464.mp3.wav	6.0	9.0	150	15000	blrwar1	Blyth's Reed Warbler	0.11554104359337344	2
30	Spectrogram 1	1	343464.mp3.wav	9.0	12.0	150	15000	ictwar1	Icterine Warbler	0.9997717616866129	1
31	Spectrogram 1	1	343464.mp3.wav	60.0	63.0	150	15000	ictwar1	Icterine Warbler	0.9998778781469564	1
32	Spectrogram 1	1	343464.mp3.wav	72.0	75.0	150	15000	ictwar1	Icterine Warbler	0.96568482086229	1
33	Spectrogram 1	1	343464.mp3.wav	75.0	78.0	150	15000	ictwar1	Icterine Warbler	0.9998235452653319	1
34	Spectrogram 1	1	343464.mp3.wav	78.0	81.0	150	15000	ictwar1	Icterine Warbler	0.9986687815527844	1
35	Spectrogram 1	1	343464.mp3.wav	81.0	84.0	150	15000	ictwar1	Icterine Warbler	0.9969621437567572	1
36	Spectrogram 1	1	343464.mp3.wav	84.0	87.0	150	15000	eurbla	Eurasian Blackbird	0.8494367593421158	1
37	Spectrogram 1	1	343464.mp3.wav	84.0	87.0	150	15000	ictwar1	Icterine Warbler	0.23706040952714763	2
38	Spectrogram 1	1	343464.mp3.wav	84.0	87.0	150	15000	sonthr1	Song Thrush	0.12489604426409097	3
39	Spectrogram 1	1	343464.mp3.wav	87.0	90.0	150	15000	ictwar1	Icterine Warbler	0.9997400296529535	1
40	Spectrogram 1	1	343464.mp3.wav	63.0	66.0	150	15000	ictwar1	Icterine Warbler	0.8646631542761839	1
41	Spectrogram 1	1	343464.mp3.wav	63.0	66.0	150	15000	blackc1	Eurasian Blackcap	0.11843517818823139	2
42	Spectrogram 1	1	343464.mp3.wav	90.0	93.0	150	15000	ictwar1	Icterine Warbler	0.998243892465342	1
43	Spectrogram 1	1	343464.mp3.wav	93.0	96.0	150	15000	ictwar1	Icterine Warbler	0.7151610337972082	1
44	Spectrogram 1	1	343464.mp3.wav	93.0	96.0	150	15000	bkcvir1	Black-capped Vireo	0.39177879693797435	2
45	Spectrogram 1	1	343464.mp3.wav	93.0	96.0	150	15000	buggna	Blue-gray Gnatcatcher	0.16280236830716327	3
46	Spectrogram 1	1	343464.mp3.wav	96.0	99.0	150	15000	ictwar1	Icterine Warbler	0.9986975323573174	1
47	Spectrogram 1	1	343464.mp3.wav	99.0	102.0	150	15000	ictwar1	Icterine Warbler	0.7268080255564371	1
48	Spectrogram 1	1	343464.mp3.wav	99.0	102.0	150	15000	eupfly1	European Pied Flycatcher	0.21656753439159268	2
49	Spectrogram 1	1	343464.mp3.wav	99.0	102.0	150	15000	sonthr1	Song Thrush	0.11634585712433877	3
50	Spectrogram 1	1	343464.mp3.wav	102.0	105.0	150	15000	eurrob1	European Robin	0.344361625880799	1
51	Spectrogram 1	1	343464.mp3.wav	102.0	105.0	150	15000	sonthr1	Song Thrush	0.1828003228107295	2
52	Spectrogram 1	1	343464.mp3.wav	102.0	105.0	150	15000	comred2	Common Redstart	0.14058143057364958	3
53	Spectrogram 1	1	343464.mp3.wav	105.0	108.0	150	15000	ictwar1	Icterine Warbler	0.998731307171667	1
54	Spectrogram 1	1	343464.mp3.wav	108.0	111.0	150	15000	ictwar1	Icterine Warbler	0.9997914618586187	1
55	Spectrogram 1	1	343464.mp3.wav	111.0	114.0	150	15000	ictwar1	Icterine Warbler	0.6052097945132464	1
56	Spectrogram 1	1	343464.mp3.wav	111.0	114.0	150	15000	eurbla	Eurasian Blackbird	0.3297954182704187	2
57	Spectrogram 1	1	343464.mp3.wav	111.0	114.0	150	15000	sonthr1	Song Thrush	0.2105156086017582	3
58	Spectrogram 1	1	343464.mp3.wav	114.0	117.0	150	15000	ictwar1	Icterine Warbler	0.999983216262237	1
59	Spectrogram 1	1	343464.mp3.wav	117.0	120.0	150	15000	ictwar1	Icterine Warbler	0.9985811203380033	1
60	Spectrogram 1	1	343464.mp3.wav	66.0	69.0	150	15000	ictwar1	Icterine Warbler	0.9293171282307864	1
61	Spectrogram 1	1	343464.mp3.wav	66.0	69.0	150	15000	eurbla	Eurasian Blackbird	0.6626828732751304	2
62	Spectrogram 1	1	343464.mp3.wav	69.0	72.0	150	15000	ictwar1	Icterine Warbler	0.9890058056938462	1
63	Spectrogram 1	1	343464.mp3.wav	120.0	123.0	150	15000	ictwar1	Icterine Warbler	0.9987994867395035	1
64	Spectrogram 1	1	343464.mp3.wav	132.0	135.0	150	15000	ictwar1	Icterine Warbler	0.9995701755418477	1
65	Spectrogram 1	1	343464.mp3.wav	135.0	138.0	150	15000	ictwar1	Icterine Warbler	0.9996963576550689	1
66	Spectrogram 1	1	343464.mp3.wav	138.0	141.0	150	15000	ictwar1	Icterine Warbler	0.998202383195609	1
67	Spectrogram 1	1	343464.mp3.wav	141.0	144.0	150	15000	ictwar1	Icterine Warbler	0.9998984898777326	1
68	Spectrogram 1	1	343464.mp3.wav	144.0	147.0	150	15000	ictwar1	Icterine Warbler	0.9998436588498942	1
69	Spectrogram 1	1	343464.mp3.wav	147.0	150.0	150	15000	ictwar1	Icterine Warbler	0.9999473531703408	1
70	Spectrogram 1	1	343464.mp3.wav	123.0	126.0	150	15000	ictwar1	Icterine Warbler	0.9999235318679484	1
71	Spectrogram 1	1	343464.mp3.wav	150.0	153.0	150	15000	ictwar1	Icterine Warbler	0.9718090050215665	1
