Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence	Rank
1	Spectrogram 1	1	288933.mp3.wav	12.0	15.0	150	15000	ictwar1	Icterine Warbler	0.9990645308904109	1
2	Spectrogram 1	1	288933.mp3.wav	15.0	18.0	150	15000	combuz1	Common Buzzard	0.9893333996343345	1
3	Spectrogram 1	1	288933.mp3.wav	15.0	18.0	150	15000	eurjay1	Eurasian Jay	0.10493400402826482	2
4	Spectrogram 1	1	288933.mp3.wav	18.0	21.0	150	15000	sonthr1	Song Thrush	0.45940899871240154	1
5	Spectrogram 1	1	288933.mp3.wav	21.0	24.0	150	15000	comred2	Common Redstart	0.32062941828054525	1
6	Spectrogram 1	1	288933.mp3.wav	21.0	24.0	150	15000	comchi1	Common Chiffchaff	0.11954714443076987	2
7	Spectrogram 1	1	288933.mp3.wav	21.0	24.0	150	15000	wlwwar	Willow Warbler	0.1172881906040135	3
8	Spectrogram 1	1	288933.mp3.wav	24.0	27.0	150	15000	rebfly	Red-breasted Flycatcher	0.41790423054647563	1
9	Spectrogram 1	1	288933.mp3.wav	24.0	27.0	150	15000	colfly1	Collared Flycatcher	0.21355920321593783	2
10	Spectrogram 1	1	288933.mp3.wav	24.0	27.0	150	15000	eupfly1	European Pied Flycatcher	0.1697374312188202	3
11	Spectrogram 1	1	288933.mp3.wav	27.0	30.0	150	15000	ictwar1	Icterine Warbler	0.9978482771194596	1
12	Spectrogram 1	1	288933.mp3.wav	3.0	6.0	150	15000	ictwar1	Icterine Warbler	0.9998827099898729	1
13	Spectrogram 1	1	288933.mp3.wav	30.0	33.0	150	15000	eurjay1	Eurasian Jay	0.13752009787283154	1
14	Spectrogram 1	1	288933.mp3.wav	30.0	33.0	150	15000	comcha	Common Chaffinch	0.12283633262895133	2
15	Spectrogram 1	1	288933.mp3.wav	30.0	33.0	150	15000	rebfly	Red-breasted Flycatcher	0.11819973085222626	3
16	Spectrogram 1	1	288933.mp3.wav	33.0	36.0	150	15000	ictwar1	Icterine Warbler	0.9235991512780853	1
17	Spectrogram 1	1	288933.mp3.wav	36.0	39.0	150	15000	ictwar1	Icterine Warbler	0.8162779065959926	1
18	Spectrogram 1	1	288933.mp3.wav	36.0	39.0	150	15000	fieldf	Fieldfare	0.22297126434495346	2
19	Spectrogram 1	1	288933.mp3.wav	36.0	39.0	150	15000	sonthr1	Song Thrush	0.13843354032832939	3
20	Spectrogram 1	1	288933.mp3.wav	39.0	42.0	150	15000	ictwar1	Icterine Warbler	0.9955650307857669	1
21	Spectrogram 1	1	288933.mp3.wav	39.0	42.0	150	15000	sonthr1	Song Thrush	0.2180707298872608	2
22	Spectrogram 1	1	288933.mp3.wav	42.0	45.0	150	15000	garwar1	Garden Warbler	0.316031714611542	1
23	Spectrogram 1	1	288933.mp3.wav	42.0	45.0	150	15000	blackc1	Eurasian Blackcap	0.1831902224292275	2
24	Spectrogram 1	1	288933.mp3.wav	45.0	48.0	150	15000	tawowl1	Tawny Owl	0.964284943008559	1
25	Spectrogram 1	1	288933.mp3.wav	48.0	51.0	150	15000	ictwar1	Icterine Warbler	0.9443482989416696	1
26	Spectrogram 1	1	288933.mp3.wav	48.0	51.0	150	15000	tawowl1	Tawny Owl	0.28868556524408046	2
27	Spectrogram 1	1	288933.mp3.wav	48.0	51.0	150	15000	bktgod	Black-tailed Godwit	0.13693443713942274	3
28	Spectrogram 1	1	288933.mp3.wav	51.0	54.0	150	15000	ictwar1	Icterine Warbler	0.9993189815876117	1
29	Spectrogram 1	1	288933.mp3.wav	54.0	57.0	150	15000	ictwar1	Icterine Warbler	0.9019941846992287	1
30	Spectrogram 1	1	288933.mp3.wav	54.0	57.0	150	15000	blackc1	Eurasian Blackcap	0.5571691775813977	2
31	Spectrogram 1	1	288933.mp3.wav	57.0	60.0	150	15000	leseag1	Lesser Spotted Eagle	0.21834934608244821	1
32	Spectrogram 1	1	288933.mp3.wav	57.0	60.0	150	15000	sonthr1	Song Thrush	0.19957312066372349	2
33	Spectrogram 1	1	288933.mp3.wav	57.0	60.0	150	15000	woowar	Wood Warbler	0.1531599141495236	3
34	Spectrogram 1	1	288933.mp3.wav	6.0	9.0	150	15000	ictwar1	Icterine Warbler	0.985552329078455	1
35	Spectrogram 1	1	288933.mp3.wav	6.0	9.0	150	15000	blackc1	Eurasian Blackcap	0.16144807621949497	2
36	Spectrogram 1	1	288933.mp3.wav	6.0	9.0	150	15000	marwar3	Marsh Warbler	0.15397728330767577	3
37	Spectrogram 1	1	288933.mp3.wav	9.0	12.0	150	15000	ictwar1	Icterine Warbler	0.7269665006742226	1
38	Spectrogram 1	1	288933.mp3.wav	9.0	12.0	150	15000	blackc1	Eurasian Blackcap	0.17080412920686558	2
39	Spectrogram 1	1	288933.mp3.wav	60.0	63.0	150	15000	ictwar1	Icterine Warbler	0.9999559310919817	1
40	Spectrogram 1	1	288933.mp3.wav	72.0	75.0	150	15000	ictwar1	Icterine Warbler	0.9999399099058024	1
41	Spectrogram 1	1	288933.mp3.wav	75.0	78.0	150	15000	ictwar1	Icterine Warbler	0.9997890927418523	1
42	Spectrogram 1	1	288933.mp3.wav	78.0	81.0	150	15000	blackc1	Eurasian Blackcap	0.9878875845024929	1
43	Spectrogram 1	1	288933.mp3.wav	81.0	84.0	150	15000	ictwar1	Icterine Warbler	0.9999081813811412	1
44	Spectrogram 1	1	288933.mp3.wav	84.0	87.0	150	15000	ictwar1	Icterine Warbler	0.9997041521459983	1
45	Spectrogram 1	1	288933.mp3.wav	87.0	90.0	150	15000	ictwar1	Icterine Warbler	0.9995084381384264	1
46	Spectrogram 1	1	288933.mp3.wav	63.0	66.0	150	15000	ictwar1	Icterine Warbler	0.999355597407535	1
47	Spectrogram 1	1	288933.mp3.wav	90.0	93.0	150	15000	ictwar1	Icterine Warbler	0.9999736797487546	1
48	Spectrogram 1	1	288933.mp3.wav	93.0	96.0	150	15000	ictwar1	Icterine Warbler	0.9789538355596173	1
49	Spectrogram 1	1	288933.mp3.wav	93.0	96.0	150	15000	blackc1	Eurasian Blackcap	0.49586567778201096	2
50	Spectrogram 1	1	288933.mp3.wav	96.0	99.0	150	15000	blackc1	Eurasian Blackcap	0.9632495816760627	1
51	Spectrogram 1	1	288933.mp3.wav	96.0	99.0	150	15000	ictwar1	Icterine Warbler	0.1919753415971131	2
52	Spectrogram 1	1	288933.mp3.wav	96.0	99.0	150	15000	garwar1	Garden Warbler	0.10385274107410594	3
53	Spectrogram 1	1	288933.mp3.wav	99.0	102.0	150	15000	ictwar1	Icterine Warbler	0.9737889335383182	1
